DEVICE_A;PORT_A;TRANSCEIVER_A;DEVICE_B;PORT_B;TRANSCEIVER_B;STATUS;SPEED;DUPLEX;TYPE;VLAN;DESCRIPTION;NOTE
1NP-ACCESS1;Gig3/0/14;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/15;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/16;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/17;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/18;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/19;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/20;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/21;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/22;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/23;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/24;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/25;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/26;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/27;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/28;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/29;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/30;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/31;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/32;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/33;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/34;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
